Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),SPACE1-1:Space People Occupant Count [](TimeStep),SPACE2-1:Space People Occupant Count [](TimeStep),SPACE3-1:Space People Occupant Count [](TimeStep),SPACE4-1:Space People Occupant Count [](TimeStep),SPACE5-1:Space People Occupant Count [](TimeStep),PLENUM-1:Zone Air Temperature [C](TimeStep),SPACE1-1:Zone Air Temperature [C](TimeStep),SPACE2-1:Zone Air Temperature [C](TimeStep),SPACE3-1:Zone Air Temperature [C](TimeStep),SPACE4-1:Zone Air Temperature [C](TimeStep),SPACE5-1:Zone Air Temperature [C](TimeStep),SPACE1-1 PEOPLE 1:Zone Thermal Comfort Fanger Model PPD [%](TimeStep),SPACE2-1 PEOPLE 1:Zone Thermal Comfort Fanger Model PPD [%](TimeStep),SPACE3-1 PEOPLE 1:Zone Thermal Comfort Fanger Model PPD [%](TimeStep),SPACE4-1 PEOPLE 1:Zone Thermal Comfort Fanger Model PPD [%](TimeStep),SPACE5-1 PEOPLE 1:Zone Thermal Comfort Fanger Model PPD [%](TimeStep) 
 06/01  00:15:00,17.6,0.0,0.0,0.0,0.0,0.0,23.66989084042582,21.841213425496004,21.802838187772945,21.821505199467644,21.783323799589493,22.1305895790704,39.58793319987623,40.11894903804695,39.82155743624159,40.52703948295325,34.13738226442588 
 06/01  00:30:00,16.4,0.0,0.0,0.0,0.0,0.0,23.472077573886818,21.746149162613552,21.71456807815418,21.72979480625342,21.69328446600355,22.06978706063085,41.250094632654886,41.67176936038056,41.434860671224584,42.09086251844616,35.19488795267813 
 06/01  00:45:00,15.2,0.0,0.0,0.0,0.0,0.0,23.281203379174,21.641682086613216,21.61843421843008,21.62859132459159,21.596151359982485,22.00762743793261,43.02238276112797,43.31676267490634,43.15906811537779,43.73806499431602,36.26433355610668 
 06/01  01:00:00,14.0,0.0,0.0,0.0,0.0,0.0,23.09637242046381,21.53600517861695,21.521535824010968,21.52623743612103,21.49872136934739,21.94569238377865,44.82921065491693,44.98917634599651,44.916848532636116,45.40641841770559,37.33360677699041 
 06/01  01:15:00,13.7,0.0,0.0,0.0,0.0,0.0,22.918087828977217,21.448943461838436,21.439151795067662,21.44001150772421,21.41574749445658,21.888362893665118,46.27293811682405,46.38801111140509,46.36516102107774,46.801811162335575,38.32874713130496 
 06/01  01:30:00,13.4,0.0,0.0,0.0,0.0,0.0,22.74732095929109,21.378988883327963,21.370045441919867,21.36882061336238,21.345910505440703,21.836755347409596,47.547820028627015,47.65405220301761,47.66493564984232,48.065919689770816,39.26539789005144 
 06/01  01:45:00,13.100000000000001,0.0,0.0,0.0,0.0,0.0,22.583933499339487,21.316062451929323,21.306392267409166,21.30402794199403,21.28156737804177,21.789493807579966,48.740881523030865,48.856526100522686,48.89025751270764,49.26605029698597,40.1546592435415 
 06/01  02:00:00,12.8,0.0,0.0,0.0,0.0,0.0,22.42739806407777,21.254041777018838,21.244892786523128,21.240256762727746,21.21697776990872,21.74492667770196,49.91932516447118,50.01988603372771,50.10043086193048,50.408584165878075,41.01647035621139 
 06/01  02:15:00,12.600000000000001,0.0,0.0,0.0,0.0,0.0,22.278627031321577,21.18944043243608,21.1809633878831,21.175370765990827,21.15307583324511,21.696828989607692,51.09897535625039,51.20035942348246,51.28289808920739,51.55219372190975,41.90542382745612 
 06/01  02:30:00,12.4,0.0,0.0,0.0,0.0,0.0,22.125328208101624,21.123704184664422,21.116624800922104,21.11028433407178,21.089894574645562,21.644355273944207,52.21417325097074,52.29433275641579,52.39287535233605,52.70080417204661,42.83535048010931 
 06/01  02:45:00,12.2,0.0,0.0,0.0,0.0,0.0,21.96750277647402,21.058950689625494,21.053941430064267,21.046200208762766,21.027701597710074,21.5897490953231,53.39303472271463,53.44608866778713,53.56654321390472,53.84180910140187,43.794681008547656 
 06/01  03:00:00,12.0,0.0,0.0,0.0,0.0,0.0,21.81011085201358,20.99592198767173,20.993254631423696,20.983481493515562,20.966702125663502,21.535091688250283,54.55593761719532,54.57879718497349,54.727893509965476,54.97280375466815,44.76320689084552 
 06/01  03:15:00,11.9,0.0,0.0,0.0,0.0,0.0,21.656218282866412,20.940998565037784,20.938469467765632,20.926853858240502,20.91144897220966,21.487820603534555,55.61500192494569,55.65209573091131,55.82531762206181,56.04524272624537,45.660862025130974 
 06/01  03:30:00,11.8,0.0,0.0,0.0,0.0,0.0,21.506981422912848,20.893459089959418,20.889730923645033,20.876036168271128,20.861022757389456,21.448864267007032,56.58039395771793,56.63660018554054,56.8445231780683,57.05648842209596,46.46671861081508 
 06/01  03:45:00,11.7,0.0,0.0,0.0,0.0,0.0,21.36393339962718,20.849698925146157,20.843880105152017,20.828517268967076,20.813913639686522,21.41539297956647,57.48366224999352,57.57610968188711,57.806854973945555,58.00237241713114,47.19751053693037 
 06/01  04:00:00,11.6,0.0,0.0,0.0,0.0,0.0,21.22659475123491,20.807442577960575,20.799130626308084,20.782572267942346,20.768861240760305,21.384548777721943,58.35078614559003,58.48370210560396,58.73282540746037,58.90690521956928,47.89071832345695 
 06/01  04:15:00,11.575,0.0,0.0,0.0,0.0,0.0,21.094669428154035,20.77313704193778,20.76175426457946,20.743815783351685,20.731549572329016,21.355797263572974,59.033212621185065,59.22263372869914,59.49465914131557,59.64021473927152,48.52972314926824 
 06/01  04:30:00,11.55,0.0,0.0,0.0,0.0,0.0,20.968144282621118,20.744987837921986,20.731793849885864,20.71319256535531,20.701609593644285,21.32916766023144,59.647036130962,59.855778843861735,60.13199823530679,60.266710287037206,49.12854619182791 
 06/01  04:45:00,11.525,0.0,0.0,0.0,0.0,0.0,20.846047367034338,20.719503350393456,20.705970315084784,20.687653327092175,20.675708916934116,21.30451888715701,60.2009812834853,60.41480025871099,60.68714627366712,60.819931377481815,49.6857427942372 
 06/01  05:00:00,11.5,0.0,0.0,0.0,0.0,0.0,20.729671272214937,20.699198366843312,20.69021492798846,20.67593679544152,20.65584884582072,21.284572174259047,60.59024781948713,60.71799741948755,60.91214386970642,61.198285802071666,50.077346065728655 
 06/01  05:15:00,11.575,0.0,0.0,0.0,0.0,0.0,20.620130125332235,20.688513085915595,20.686502104544957,20.677472627376854,20.64600970312393,21.270521548251274,60.82561224023715,60.85318870489443,60.97766746271524,61.41559318503437,50.40325667335225 
 06/01  05:30:00,11.65,0.0,0.0,0.0,0.0,0.0,20.518057019626525,20.685286388984302,20.690291665269033,20.68544589472373,20.643797253856565,21.26098263849289,60.94818352877334,60.86779615805759,60.93912144342153,61.51446340833146,50.654172529237854 
 06/01  05:45:00,11.725000000000001,0.0,0.0,0.0,0.0,0.0,20.431910399614846,20.70548751986492,20.73841698535091,20.745501979647912,20.66530970288605,21.268168762024963,60.400312430628865,59.76585253096744,59.586352501727475,60.94330555075867,50.18140047113539 
 06/01  06:00:00,11.8,0.0,0.0,0.0,0.0,0.0,20.366471323268332,20.75815624341682,20.83819594492023,20.860604255261013,20.719614782956185,21.301214704271477,59.371568477058545,57.94621201321608,57.528691803875915,59.88298618632954,49.41132846831293 
 06/01  06:15:00,11.950000000000001,0.0,0.0,0.0,0.0,0.0,20.321308156244868,20.835801801172074,20.967274141087746,21.00232822887369,20.798301504537303,21.35830818151565,57.97536765601646,55.693308783693396,55.09026761333634,58.46291944138719,48.30791707842585 
 06/01  06:30:00,12.100000000000001,0.0,0.0,0.0,0.0,0.0,20.296720956607295,20.92910685207058,21.110583893594374,21.15035297368198,20.89105199747422,21.43267669624212,56.29536458049758,53.08570735730933,52.446330181960676,56.78177784055029,46.94283701320448 
 06/01  06:45:00,12.25,0.0,0.0,0.0,0.0,0.0,20.284780323898495,21.010662817894868,21.223433483223843,21.2595853880859,20.973092597719326,21.502560855291172,55.07279145819927,51.40684641407912,50.89756275302877,55.51650573337503,46.08790908938844 
 06/01  07:00:00,12.4,0.0,0.0,0.0,0.0,0.0,20.28235878931672,21.069193863503685,21.300023322391926,21.3251797542535,21.031350036315175,21.554791931325813,54.10854518083574,50.089374704184515,49.89501385377772,54.546590471713785,45.34857125075485 
 06/01  07:15:00,12.625,0.0,0.0,0.0,0.0,0.0,20.289873566481397,21.149865740071515,21.395895530467033,21.40554952612962,21.109239899630484,21.634799646553684,52.975333040380946,48.73137586532841,48.77496168854618,53.43882546374695,44.417599188840626 
 06/01  07:30:00,12.850000000000001,0.0,0.0,0.0,0.0,0.0,20.31062506299675,21.220497228037715,21.48035786664824,21.473899567808566,21.176543607321864,21.707542282968216,52.03339536691428,47.48951400113402,47.82450477819403,52.44873390912968,43.567915879513464 
 06/01  07:45:00,13.075000000000001,0.0,0.0,0.0,0.0,0.0,20.352711152036193,21.28865620823299,21.57796540735094,21.559105282482445,21.242121080999706,21.76828287688266,50.61998284019357,45.326131344207056,45.97163295753877,51.062654040897996,42.37761632929478 
 06/01  08:00:00,13.3,0.0,0.0,0.0,0.0,0.0,20.414446630506706,21.374838558284665,21.705519615196845,21.666444895396193,21.325330346533654,21.829971344578414,48.93803947092565,42.925304618989045,43.99730172142101,49.4253420775768,41.17513141513698 
 06/01  08:15:00,13.500000000000002,11.0,5.0,11.0,5.0,20.0,21.409483718522697,22.65095941472826,23.050616957101305,22.955324323814644,22.634946240774415,23.105566632060736,32.36069648356926,26.22691909090409,27.749998618808775,32.4361838266359,25.818471180670315 
 06/01  08:30:00,13.7,11.0,5.0,11.0,5.0,20.0,21.841165974890934,23.38928597814549,23.951935013016886,23.785121971166735,23.38204159686026,24.01149628711553,23.324291230072788,17.06618248359601,18.967034930379626,23.21777748617194,17.546929616620503 
 06/01  08:45:00,13.899999999999999,11.0,5.0,11.0,5.0,20.0,22.26807856546703,23.984704818393777,24.593433546142304,24.40365909931416,23.979016593722,24.6448142317615,17.8171360623692,12.219479360030931,14.072854604306798,17.652311597835833,13.031381724298171 
 06/01  09:00:00,14.1,11.0,5.0,11.0,5.0,20.0,22.668801679984355,24.43563891429723,24.91442476337777,24.812248542567417,24.427399031442977,24.934299317440818,14.079406659561386,9.849826309764367,11.22944149594693,13.913703553473411,10.961728293755527 
 06/01  09:15:00,14.25,11.0,5.0,11.0,5.0,20.0,23.378655458836356,24.99356245651756,24.998081610740613,24.996708661754333,24.993446833582354,24.998511162046256,10.204582884000061,8.429917205740935,9.366266140766328,10.019297944195841,9.659452675245674 
 06/01  09:30:00,14.399999999999999,11.0,5.0,11.0,5.0,20.0,23.67985214022615,24.999251701285313,24.999146117885637,24.999252357493774,24.999188415661134,24.99923360681766,9.541703213688379,7.923494741775073,8.892448251690055,9.35918948205321,9.201631130971052 
 06/01  09:45:00,14.549999999999999,11.0,5.0,11.0,5.0,20.0,24.103470641641927,24.99903063947879,24.998787936533596,24.998968950141506,24.99895380183634,24.99889026447388,8.901152124802053,7.432884593479201,8.404887970843333,8.716823925225924,8.66537304093292 
 06/01  10:00:00,14.7,11.0,5.0,11.0,5.0,20.0,24.41058314760094,24.99859042002555,24.998340037682453,24.998557924050676,24.998496686338342,24.998469756970316,8.417628281479622,7.10839405505088,8.076892804665093,8.237061991448954,8.28446441336331 
 06/01  10:15:00,14.849999999999998,11.0,5.0,11.0,5.0,20.0,24.76385452454086,24.998440151318363,24.998230373090788,24.998431903177746,24.998342008947283,24.998341927821244,8.015607764571499,6.829176429058052,7.7755888515464875,7.836424972073374,7.939020526359599 
 06/01  10:30:00,15.0,11.0,5.0,11.0,5.0,20.0,25.078562933931245,24.998296544762134,24.998122102120565,24.998299514704918,24.998198274260723,24.998213380979983,7.7396430791101665,6.658521986026599,7.559042471547215,7.569577214473199,7.703693529306932 
 06/01  10:45:00,15.150000000000002,11.0,5.0,11.0,5.0,20.0,25.372508276197106,24.997120561612427,24.99690828724423,24.997145432342258,24.996979022406492,24.996869117445783,7.538403119153813,6.552234963014129,7.391662260249646,7.378255430669668,7.5287322842439295 
 06/01  11:00:00,15.3,11.0,5.0,11.0,5.0,20.0,25.65776892811422,24.996834395390017,24.99664239773506,24.996854290325448,24.996681908171887,24.996547786185005,7.397776699915823,6.486598904540827,7.264047066724686,7.236792212452286,7.396099625085682 
 06/01  11:15:00,15.475000000000001,8.8,4.0,8.8,4.0,16.0,25.905994150271063,24.99691485676013,24.996747644197463,24.996937055245166,24.996784431585624,24.996626988988666,7.373893951607442,6.5305621183353395,7.270559789458559,7.223441898564275,7.389603198701792 
 06/01  11:30:00,15.65,8.8,4.0,8.8,4.0,16.0,26.158242085756985,24.99686178245515,24.996763138214472,24.996895152854247,24.996750473141812,24.99657887542497,7.3261940976639295,6.548395633774021,7.247375814166986,7.191187592354595,7.346949380352427 
 06/01  11:45:00,15.825,8.8,4.0,8.8,4.0,16.0,26.412308685767655,24.996840262020623,24.996804571076883,24.996881184301706,24.996740802134312,24.996562965215837,7.294542000918,6.5956800294501505,7.235839087715803,7.167769736843255,7.323754531244276 
